Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS,DWS_Next
A.C. Green,-1.114487814,0.543397685,-1.10131363,-0.92272616,-0.827954703,-0.53948006,-0.666259399,-0.654568449,-0.73377939,-0.456463504,-0.652892433,0.42922607,4.3
A.C. Green,-0.866782584,0.543397685,-0.842531969,-0.638548234,-0.578952058,-0.195964522,-0.373612206,-0.588443396,-0.537094876,-0.223761452,-0.371303962,0.974470341,3.4
A.C. Green,-0.619077354,0.543397685,-0.583750309,-0.343578742,-0.285929303,0.204803605,-0.037609873,-0.515233517,-0.292644122,-0.092866547,-0.081182506,1.561656479,3.5
A.C. Green,-0.371372124,0.543397685,-0.324968648,-0.048609249,-0.006912947,0.62683698,0.309953831,-0.434151607,-0.028524916,0.067116113,0.217471934,1.645540213,3.3
A.C. Green,-0.123666894,0.543397685,-0.066186987,0.246360244,0.294224627,1.055413508,0.635117379,-0.363303336,0.156920483,0.212554896,0.499060406,1.603598346,2.9
A.C. Green,0.124038336,0.543397685,0.192594674,0.541329736,0.534778967,1.384206951,0.862731863,-0.307411923,0.322697431,0.279456736,0.746516942,1.351947144,2.9
A.C. Green,0.371743566,0.543397685,0.451376334,0.836299229,0.857370787,1.884758163,1.192230925,-0.215309171,0.5783873,0.384172659,0.993973477,1.184179676,2.6
A.C. Green,0.619448796,0.543397685,0.710157995,1.131268721,1.170736169,2.354229398,1.498607246,-0.123993622,0.825647833,0.49761491,1.215831061,1.058354075,2.6
A.C. Green,0.867154025,0.543397685,0.968939656,1.426238214,1.484768522,2.804071173,1.844003193,-0.01614681,1.022332348,0.608148384,1.437688645,0.932528474,2.1
A.C. Green,1.114859255,0.543397685,1.227721317,1.721207707,1.783460534,3.121414099,2.187231383,0.083827972,1.176870181,0.69832043,1.616881309,0.722819139,1.7
A.C. Green,1.362564485,0.543397685,1.486502977,2.016177199,2.018345618,3.392954952,2.46759462,0.140506588,1.303310226,0.76522227,1.761942037,0.345342336,2.4
A.C. Green,1.610269715,0.543397685,1.745284638,2.314743881,2.29536106,3.756099949,2.781196798,0.194823596,1.49999474,0.81176268,1.966733653,0.471167937,2.4
A.C. Green,1.857974945,0.543397685,2.004066299,2.609713373,2.58982892,4.114337581,3.10563776,0.291649566,1.719157485,0.890299622,2.171525269,0.764761006,0.7
A.C. Green,2.105680175,0.543397685,2.26284796,2.78957282,2.692542511,4.24847222,3.211135267,0.311329641,1.797831291,0.913569828,2.231256157,0.051749267,3.3
A.C. Green,2.353385405,0.543397685,2.52162962,3.084542313,2.906973806,4.510198344,3.446698193,0.374305882,1.946749567,0.965927789,2.512844628,0.42922607,2.1
A.J. English,-0.866782584,-1.07001108,-1.10131363,-0.965892427,-0.838959731,-0.693244158,-0.767421392,-0.557742479,-0.801214081,-0.555361876,-0.763821225,-0.661262472,0.7
A.J. Guyton,-1.114487814,-1.607814002,-1.10131363,-1.098988418,-0.929334351,-0.784848301,-0.807163603,-0.646696419,-0.846170541,-0.584449632,-0.832085097,-1.332332344,0
A.J. Guyton,-0.866782584,-1.607814002,-0.842531969,-0.937114916,-0.861859081,-0.765218842,-0.784040862,-0.582932975,-0.818072754,-0.564088203,-0.832085097,-1.290390477,0
A.J. Price,-0.866782584,-1.338912541,-1.10131363,-1.016253072,-0.903211306,-0.781576725,-0.77103432,-0.613633893,-0.773116293,-0.590267184,-0.755288241,-0.577378738,0.7
A.J. Price,-0.619077354,-1.338912541,-0.842531969,-0.836393626,-0.814837599,-0.755404112,-0.730569523,-0.526254359,-0.691632709,-0.587358408,-0.695557353,-0.619320605,0.5
A.J. Price,-0.371372124,-1.338912541,-0.583750309,-0.678117312,-0.751697643,-0.734138865,-0.695885411,-0.4585549,-0.635437133,-0.581540857,-0.652892433,-0.745146206,1.2
A.J. Price,0.124038336,-1.338912541,-0.066186987,-0.372356253,-0.598627714,-0.699787311,-0.621459088,-0.286944645,-0.539904654,-0.57281453,-0.550496626,-0.745146206,0.2
Aaron Brooks,-0.866782584,-1.876715462,-1.10131363,-1.034239017,-0.931779913,-0.779940937,-0.794879647,-0.62859075,-0.834931426,-0.584449632,-0.755288241,-0.577378738,2.2
Aaron Brooks,-0.619077354,-1.876715462,-0.842531969,-0.746463902,-0.709678447,-0.725959923,-0.705279025,-0.441236434,-0.705681602,-0.561179427,-0.567562594,0.0098074,1.6
Aaron Brooks,-0.123666894,-1.876715462,-0.324968648,-0.239260262,-0.242465002,-0.604911591,-0.547032765,0.083827972,-0.416274388,-0.511730241,-0.396902914,-0.40961127,0
