Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS,OWS_Next
Michael Jordan,-0.866782584,-0.263306698,-0.583750309,-0.563007267,-0.235017155,0.45882328,0.43040943,-0.454947706,-0.397242512,0.768777879,0.601623932,-0.218865558,0.020064528,0.04656088,0.666841605,2.325487884,15.1
Michael Jordan,-0.123666894,-0.263306698,0.192594674,0.318304022,0.850256425,2.323153511,2.12822034,-0.040079094,0.085274029,2.733536176,2.382975015,0.486159188,1.322098302,1.3029717,3.171830964,6.260742436,14.9
Kevin Durant,-0.619077354,0.543397685,0.192594674,0.440608446,0.956527197,1.323522827,1.291191011,1.774147933,1.725342877,2.481770666,2.036853652,-0.155069816,0.44200534,1.425587205,2.029105481,4.533069706,14.8
Michael Jordan,-0.371372124,-0.263306698,-0.066186987,0.02333453,0.494871847,1.726415802,1.583818744,-0.342999033,-0.213252619,2.14805795,1.853568379,0.252241465,0.913539942,0.90964664,2.344340097,6.380719709,14.7
LeBron James,0.124038336,0.274496224,0.968939656,1.260767523,2.057252281,2.876181133,2.707141874,2.485351269,2.814660522,3.70308022,3.812145718,0.592485426,3.042924076,2.739324754,4.432769428,4.101151524,14.6
Michael Jordan,-0.619077354,-0.263306698,-0.324968648,-0.268037774,0.133039879,1.131578532,1.046384476,-0.43189945,-0.332663278,1.48260715,1.252968291,0.008509012,0.401857987,0.447847986,1.52247842,5.732842435,14.6
Michael Jordan,1.114859255,-0.263306698,1.227721317,1.242781578,1.947535491,4.184316345,3.903938634,0.463689935,0.63968066,4.359645179,3.871978514,1.089765061,2.471414693,2.328483193,5.434765172,2.397474248,14.2
LeBron James,-0.866782584,0.274496224,-0.066186987,0.188805221,0.789006221,1.274111424,1.251603925,1.145259799,1.353707662,1.652425455,1.767227383,0.018323742,1.327608723,1.148508012,1.770162761,3.71722425,13.8
Stephen Curry,-0.123666894,-1.07001108,0.192594674,0.278734944,0.619039684,0.368235709,0.36833688,3.38752587,2.731804146,0.509113843,0.303974708,-0.34972862,1.559046407,1.175578968,1.578770315,4.221128797,13.8
Kevin Durant,-0.866782584,0.543397685,-0.066186987,0.149236142,0.609813247,0.94850295,0.943141357,1.316475416,1.318371855,1.811383287,1.468820782,-0.230316076,0.147591415,0.979712642,1.263535699,3.333296977,13.6
Charles Barkley,-0.866782584,-0.263306698,-0.583750309,-0.390342198,-0.105735871,0.12878045,-0.050969526,-0.405558586,-0.337537182,0.324485802,0.373653407,0.850939973,-0.068889412,0.481288578,0.33471942,2.373478794,13.4
Dirk Nowitzki,-0.123666894,1.350102067,0.451376334,0.660036971,1.108707831,1.080266691,1.090722011,1.961826591,1.900803437,1.933810437,1.636201134,0.260420406,0.322350483,0.635752266,2.558249301,3.861196978,13.4
Chris Paul,-1.114487814,-1.876715462,-0.583750309,-0.419119709,-0.091507149,-0.07013212,-0.062370607,0.098210444,0.130357645,0.225754229,0.123718943,-0.511671659,0.959984919,-0.053760897,0.835717292,3.885192432,13.3
David Robinson,0.124038336,1.619003528,-0.324968648,-0.088178327,0.320347672,0.868051051,0.733804851,-0.517507259,-0.521527076,1.352281474,1.433224055,1.04396299,-0.024806043,0.591164809,1.105918391,2.517451521,13.3
LeBron James,-0.619077354,0.274496224,0.192594674,0.480177524,1.128494649,1.69030747,1.640824147,1.579884059,1.82160249,2.238890997,2.34434878,0.191717299,1.789696889,1.532278618,2.541361732,5.084965162,13.3
Michael Jordan,1.362564485,-0.263306698,1.486502977,1.537751071,2.291025746,4.69426736,4.407486357,0.829169427,0.956484449,4.900694198,4.369575309,1.331861726,2.748510151,2.642187796,6.234110091,2.925374249,13.3
Charles Barkley,-0.619077354,-0.263306698,-0.324968648,-0.102567083,0.246647336,0.57791743,0.305630937,-0.260683832,-0.146236433,1.029429231,1.093919087,1.480718459,0.131060152,0.96538096,1.089030823,4.29311516,13.2
Chris Paul,-1.362193043,-1.876715462,-0.842531969,-0.706894824,-0.425659805,-0.410944102,-0.392368549,-0.204709496,-0.173042907,-0.102034593,-0.171658149,-0.613090533,0.231822137,-0.373835136,0.092664268,2.349483339,13.2
Tracy McGrady,-1.114487814,0.274496224,-0.066186987,0.02333453,0.195179378,0.487963338,0.56500552,0.131136524,0.155945643,0.518987,0.570571468,0.433813963,0.268033476,0.181915657,0.666841605,3.165328795,13.2
Charles Barkley,-0.371372124,-0.263306698,-0.066186987,0.181610843,0.589915267,0.999181312,0.636895666,-0.145442551,0.051156698,1.623793299,1.699063439,2.139941134,0.38690113,1.369852884,1.832083846,5.612865163,13.1
Chris Paul,0.371743566,-1.876715462,0.968939656,1.00176992,1.495995873,1.322255868,1.297208248,1.481105818,1.523075842,1.996998644,1.689974913,-0.086366708,4.114307369,1.455842978,4.128793191,3.933183342,12.9
Chauncey Billups,0.371743566,-1.07001108,0.710157995,0.685217294,0.790895974,0.054663346,0.185286198,2.23182045,2.132313898,1.033378494,0.789453468,-0.339913891,1.218187505,0.747220906,1.409894628,2.997360613,12.7
Magic Johnson,0.619448796,0.543397685,1.227721317,1.357891624,1.937197435,2.28577822,2.000274881,-0.148735159,0.034098032,2.875709641,2.567775042,1.371120645,5.620226722,3.537121739,4.095018054,4.005169705,12.7
James Harden,-0.619077354,-0.532208158,-0.066186987,0.116861442,0.294002303,-0.024521594,-0.043368806,1.691832732,1.670511452,1.239727481,1.030299405,-0.405345422,0.438856528,0.525876034,1.297310837,4.005169705,12.2
LeBron James,0.371743566,0.274496224,1.227721317,1.534153882,2.377065053,3.295544577,3.055508224,2.824489896,3.124153454,4.100968458,4.217342499,0.751156889,3.476672933,3.099209223,5.254631106,5.132956071,12.2
Karl Malone,1.610269715,0.543397685,1.745284638,2.307549503,3.091280228,5.135169106,4.764720214,-0.313365561,-0.258336235,5.643155625,6.009296863,3.561441145,1.808589761,3.957517755,4.41025267,4.389096979,12.1
Magic Johnson,-0.123666894,0.543397685,0.451376334,0.534135358,1.000436146,1.225333501,1.00014676,-0.405558586,-0.310730708,1.4292921,1.29310928,0.846032609,3.397952632,2.134209277,2.293677391,3.669233341,12.1
Magic Johnson,0.371743566,0.543397685,0.968939656,1.080908076,1.616384206,1.956368869,1.69972973,-0.342999033,-0.194975477,2.369216673,2.141371701,1.189548146,4.842470151,3.040290084,3.413886116,4.005169705,12.1
