"","Player","OWS_Predict","DWS_Predict"
"1","Aaron Brooks",1.18333333333333,0.37
"2","Aaron Gordon",4.36315789473684,2.36
"3","Aaron Harrison",2.63333333333333,0.825
"4","Aaron Jackson",1.66315789473684,0.46
"5","Abdel Nader",1.21111111111111,0.95
"6","Adreian Payne",2.20555555555556,0.41
"7","Al Horford",3.52777777777778,3.25
"8","Al Jefferson",1.83333333333333,1.43
"9","Al-Farouq Aminu",2.88888888888889,2.995
"10","Alan Williams",2.33333333333333,1.3
"11","Alec Burks",2.15,1.365
"12","Alec Peters",1.85555555555556,0.705
"13","Alex Abrines",3.31666666666667,1.555
"14","Alex Caruso",1.78333333333333,0.875
"15","Alex Len",4.08888888888889,2.26
"16","Alex Poythress",1.1,0.605
"17","Alfonzo McKinnie",1.23333333333333,0.445
"18","Allen Crabbe",4.53333333333333,1.4
"19","Amir Johnson",3.05,1.835
"20","Andre Drummond",4.45,5.965
"21","Andre Iguodala",2.77222222222222,2.795
"22","Andre Ingram",0.461111111111111,0.405
"23","Andre Roberson",2.25,2.57
"24","Andrew Bogut",0.877777777777778,0.88
"25","Andrew Harrison",1.35555555555556,1.74
"26","Andrew White",1.43888888888889,0.565
"27","Andrew Wiggins",4.33333333333333,2.195
"28","Ante Zizic",2.03888888888889,0.56
"29","Anthony Brown",0.805555555555556,0.43
"30","Anthony Davis",8.28888888888889,6.08
"31","Anthony Tolliver",1.9,0.77
"32","Antonio Blakeney",1.47222222222222,0.44
"33","Antonius Cleveland",1.74444444444444,0.59
"34","Aron Baynes",1.56666666666667,1.74
"35","Arron Afflalo",0.833333333333333,0.505
"36","Austin Rivers",2.78888888888889,1.43
"37","Avery Bradley",0.883333333333333,1.505
"38","Bam Adebayo",4.74444444444444,2.59
"39","Ben McLemore",1.89444444444444,1.135
"40","Ben Moore",1.81666666666667,0.72
"41","Ben Simmons",6.53888888888889,4.915
"42","Bismack Biyombo",2.4,2.41
"43","Blake Griffin",4.86666666666667,2.695
"44","Boban Marjanovic",1.28333333333333,0.725
"45","Bobby Brown",0.1,0.215
"46","Bobby Portis",3.61111111111111,1.785
"47","Bogdan Bogdanovic",3.57222222222222,1.175
"48","Bojan Bogdanovic",3.88888888888889,1.65
"49","Bradley Beal",5.91111111111111,2.55
"50","Brandan Wright",1.17777777777778,0.675
"51","Brandon Ingram",2.40555555555556,2.005
"52","Brandon Jennings",1.86666666666667,1.29
"53","Brandon Paul",1.29444444444444,1.085
"54","Briante Weber",1.33888888888889,0.95
"55","Brice Johnson",1.41111111111111,0.785
"56","Brook Lopez",2.71666666666667,2.015
