Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS
Aaron Brooks,1.656182351,-2.051084496,1.091468629,1.052502977,0.551016694,-0.201171645,-0.184913289,0.863333666,0.257991144,-0.287474687,0.01197367,-0.843316663
Aaron Gordon,-0.979863513,0.618511286,-0.291001409,-0.17784868,-0.1371855,0.071521897,0.034723314,-0.268967677,-0.184759999,-0.021209197,-0.173267016,0.681539779
Aaron Harrison,-0.74022298,-0.271353975,-0.521413082,-0.912194695,-0.820361263,-0.651390511,-0.745340879,-0.599158394,-0.724630748,-0.589242243,-0.728989074,-1.040072333
Aaron Jackson,1.176901285,-0.864597482,-0.982236428,-1.021702434,-0.852614196,-0.662371459,-0.76872155,-0.61064995,-0.767477633,-0.596342656,-0.755452029,-1.138450168
Abdel Nader,-0.500582447,-0.271353975,-0.982236428,-0.870324089,-0.801616864,-0.642239721,-0.728336755,-0.591497356,-0.724630748,-0.560840591,-0.684884148,-0.351427488
Adreian Payne,-0.021301381,0.91513304,-0.291001409,-0.680295953,-0.709360909,-0.521449293,-0.602222835,-0.560853206,-0.638936978,-0.500487079,-0.684884148,-1.040072333
Al Horford,1.176901285,0.91513304,1.321880301,1.287622534,1.637249402,2.216467066,2.464187544,1.123808941,0.880699204,2.460385173,2.305429783,2.058829468
Al Jefferson,1.656182351,0.91513304,2.01311532,1.922123257,1.897681364,3.093112745,3.223705087,0.420525698,1.026378612,3.28403309,2.217219933,-0.203860736
Al-Farouq Aminu,0.218339152,0.618511286,0.630645283,0.872137289,0.671755758,0.842018412,1.107400142,-0.057523042,0.869273368,0.635579013,0.735294444,1.419373541
Alan Williams,-0.260941914,0.321889533,-0.521413082,-0.825232667,-0.767688454,-0.462884238,-0.598680309,-0.583836319,-0.664645109,-0.461434808,-0.649600208,-0.646560993
Alec Burks,-0.021301381,-0.271353975,0.40023361,0.150674537,-0.052364475,-0.256076384,-0.170743186,-0.1509877,-0.136200196,-0.404631503,-0.261476866,0.091272769
Alec Peters,-0.979863513,0.618511286,-0.982236428,-0.960506933,-0.832717906,-0.651390511,-0.748883405,-0.602222809,-0.761764715,-0.589242243,-0.755452029,-1.138450168
Alex Abrines,-0.500582447,-0.271353975,-0.751824755,-0.564346582,-0.6270531,-0.585504823,-0.658903249,-0.559320998,-0.553243209,-0.539539351,-0.587853313,-0.203860736
Alex Caruso,-0.74022298,-0.567975728,-0.982236428,-0.905753063,-0.797428171,-0.638579405,-0.734004797,-0.553958272,-0.701779076,-0.560840591,-0.702526119,-0.548183158
Alex Len,-0.500582447,1.804998301,-0.060589736,0.054050062,-0.159280854,0.596777241,0.282700123,-0.412995182,-0.364716916,0.624928393,-0.11152012,0.337217356
Alex Poythress,-0.500582447,0.025267779,-0.751824755,-0.925077958,-0.828948083,-0.633088931,-0.74959191,-0.606053327,-0.750338879,-0.585692036,-0.737810059,-1.040072333
Alfonzo McKinnie,-0.260941914,0.321889533,-0.982236428,-0.979831828,-0.850729284,-0.664201617,-0.765179024,-0.61064995,-0.764621174,-0.592792449,-0.746631044,-1.040072333
Allen Crabbe,-0.260941914,-0.271353975,-0.060589736,-0.055457677,-0.087758928,-0.51595882,-0.226715094,-0.339449222,-0.23903272,-0.287474687,-0.358507702,0.042083852
Amir Johnson,0.937260752,0.618511286,1.782703647,1.612924935,1.0070606,2.401313023,1.26327128,0.164647046,0.683603534,2.336127944,1.220448622,0.878295449
Andre Drummond,-0.500582447,1.211754794,0.169821937,0.466314491,0.616465015,3.332863442,2.069550164,-0.217638726,0.917833171,1.913653366,1.590929994,4.272330754
Andre Iguodala,1.895822884,-0.271353975,2.01311532,2.324725239,2.856577817,1.147654797,2.339490634,2.916491717,3.808569668,1.182310819,3.152244348,1.075051118
Andre Ingram,1.416541818,-1.161219235,-0.982236428,-1.018481618,-0.849577394,-0.664201617,-0.765887529,-0.606053327,-0.758908256,-0.585692036,-0.746631044,-1.040072333
Andre Roberson,-0.021301381,0.025267779,-0.060589736,-0.074782573,-0.15980444,-0.029136793,-0.174285712,-0.41452739,-0.01337246,0.095947619,-0.032131255,1.025862201
Andrew Bogut,1.656182351,1.508376547,1.782703647,1.210322953,1.209583887,2.522103451,2.287769757,0.564553203,0.486507863,3.248531024,1.996695307,-0.498994241
Andrew Harrison,-0.74022298,-0.271353975,-0.751824755,-0.61265882,-0.56307082,-0.581844507,-0.612850412,-0.324127147,-0.507539865,-0.429482949,-0.561390358,-0.056293983
Andrew White,-0.500582447,0.025267779,-0.982236428,-0.976611012,-0.834393383,-0.658711143,-0.7481749,-0.606819431,-0.758908256,-0.592792449,-0.746631044,-1.040072333
Andrew Wiggins,-0.979863513,0.321889533,-0.291001409,0.028283535,0.383678424,0.108125056,-0.111937257,-0.088167192,0.195149046,0.032043901,-0.473180507,0.091272769
Ante Zizic,-1.219504046,1.211754794,-0.982236428,-0.921857142,-0.833869797,-0.622107983,-0.743923869,-0.607585535,-0.761764715,-0.550189971,-0.737810059,-0.941694498
Anthony Brown,-0.260941914,0.025267779,-0.521413082,-0.8928698,-0.776484708,-0.634919089,-0.708498611,-0.589965149,-0.713204912,-0.575041417,-0.728989074,-1.040072333
Anthony Davis,-0.500582447,0.91513304,0.169821937,0.295611251,0.636780175,1.226351591,1.497786491,-0.026112788,0.80643127,2.90416099,1.238090592,3.780441579
Anthony Tolliver,1.416541818,0.321889533,1.091468629,0.904345447,0.415721923,0.236236116,0.351425125,-0.182397953,-0.101922689,0.046244727,0.047257611,-0.007105066
Antonio Blakeney,-1.219504046,-0.864597482,-0.982236428,-0.963727748,-0.823398065,-0.658711143,-0.748883405,-0.596093979,-0.74748242,-0.592792449,-0.746631044,-1.040072333
Antonius Cleveland,-0.74022298,-0.271353975,-0.982236428,-0.97016938,-0.843399072,-0.660541301,-0.761636498,-0.609883846,-0.74748242,-0.578591623,-0.737810059,-0.941694498
Aron Baynes,1.176901285,0.91513304,0.169821937,0.186103512,-0.266197232,0.357026544,0.000715065,-0.419890116,-0.541817373,0.024943488,-0.04095224,0.829106531
Arron Afflalo,1.416541818,-0.567975728,1.321880301,1.429338432,1.324877651,-0.054759005,0.535636469,0.450403745,0.206574882,-0.095763534,0.091362536,-0.941694498
Austin Rivers,-0.260941914,-0.864597482,0.169821937,0.289169619,0.179898529,-0.413469972,-0.281978498,0.144728348,0.058039015,-0.358478818,-0.305581791,-0.007105066
Avery Bradley,0.218339152,-1.457840989,0.630645283,0.453431228,0.510491093,-0.122474851,-0.002118955,-0.000831364,0.652182485,-0.259073035,0.417738983,0.435595191
Bam Adebayo,-1.45914458,0.91513304,-0.982236428,-0.802686956,-0.713026015,-0.450073132,-0.583093195,-0.534039575,-0.676070945,-0.450784188,-0.587853313,0.730728696
Ben McLemore,-0.500582447,-0.567975728,-0.060589736,0.099141484,0.040833935,-0.353074758,-0.258597827,-0.302676242,-0.079071017,-0.354928611,-0.437896567,-0.548183158
Ben Moore,-0.979863513,0.025267779,-0.982236428,-1.018481618,-0.855336846,-0.666031775,-0.76872155,-0.61064995,-0.767477633,-0.596342656,-0.755452029,-1.138450168
Ben Simmons,-1.219504046,0.91513304,-0.982236428,-0.764037165,-0.570191598,-0.400658866,-0.405258397,-0.105021474,-0.367573375,-0.347828198,-0.314402776,3.780441579
Bismack Biyombo,-0.260941914,0.618511286,0.40023361,0.678888337,0.301056463,1.262954751,0.901933643,-0.416059597,-0.373286293,2.108914726,0.453022923,0.779917614
Blake Griffin,0.457979686,0.91513304,0.630645283,0.678888337,1.084865565,1.581402242,1.798192684,1.141429327,0.646469567,0.419016414,1.202806652,0.927484366
Boban Marjanovic,0.697620219,2.398241808,-0.521413082,-0.61265882,-0.737110998,-0.36039539,-0.556169999,-0.571578658,-0.687496781,-0.433033155,-0.561390358,-0.646560993
Bobby Brown,1.656182351,-1.457840989,-0.291001409,-0.516034345,-0.679516474,-0.623938141,-0.712749642,-0.435212191,-0.650362814,-0.58214183,-0.737810059,-1.08926125
Bobby Portis,-0.979863513,1.211754794,-0.521413082,-0.383980895,-0.464112957,-0.012665371,-0.221047053,-0.450534266,-0.507539865,-0.39753109,-0.402612627,0.189650604
Bogdan Bogdanovic,-0.260941914,-0.271353975,-0.982236428,-0.773699613,-0.628519142,-0.609296877,-0.633397062,-0.413761286,-0.561812586,-0.539539351,-0.658421193,-0.056293983
Bojan Bogdanovic,0.457979686,0.321889533,-0.291001409,-0.000703808,0.035493352,-0.386017602,-0.158698598,-0.307272865,-0.333295867,-0.493386666,-0.473180507,0.091272769
Bradley Beal,-0.500582447,-0.567975728,0.169821937,0.282727987,0.583688496,-0.100512955,0.085735686,0.442742707,0.460799732,-0.124165186,0.320708147,0.878295449
Brandan Wright,0.937260752,0.91513304,1.091468629,0.353585936,-0.12859868,0.406440809,-0.079346019,-0.458961407,-0.201898753,0.912495123,-0.07623618,-0.646560993
Brandon Ingram,-1.45914458,0.618511286,-0.751824755,-0.580450662,-0.410811844,-0.45190329,-0.405966903,-0.308038968,-0.496114029,-0.315876339,-0.534927403,0.091272769
