Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
Aaron Brooks,1.656182351,-2.051084496,1.091468629,1.052502977,0.551016694,0.228922033,0.345286562,1.367318313,1.355647313,0.251630696,0.175218997,-0.201171645,0.863333666,0.807140429,7.632931974,-0.687338554
Aaron Gordon,-0.979863513,0.618511286,-0.291001409,-0.17784868,-0.1371855,-0.131034039,-0.156536875,-0.038879259,0.059057722,-0.16881361,-0.127250138,0.071521897,-0.268967677,-0.288092662,7.071885891,0.131945132
Aaron Harrison,-0.74022298,-0.271353975,-0.521413082,-0.912194695,-0.820361263,-0.701235702,-0.703596017,-0.61559205,-0.620760922,-0.624376233,-0.631365365,-0.651390511,-0.599158394,-0.746525942,5.907450626,-0.769266923
Aaron Jackson,1.176901285,-0.864597482,-0.982236428,-1.021702434,-0.852614196,-0.707744853,-0.714009992,-0.642587117,-0.667361394,-0.641935392,-0.653349337,-0.662371459,-0.61064995,-0.755913654,4.531299858,-0.660029098
Abdel Nader,-0.500582447,-0.271353975,-0.982236428,-0.870324089,-0.801616864,-0.691471974,-0.688300491,-0.588596983,-0.611623575,-0.620474198,-0.62530082,-0.642239721,-0.591497356,-0.704281237,4.335463018,-1.151599309
Adreian Payne,-0.021301381,0.91513304,-0.291001409,-0.680295953,-0.709360909,-0.605551176,-0.595225586,-0.608229759,-0.617105983,-0.578527318,-0.581332876,-0.521449293,-0.560853206,-0.61666259,4.171383503,-0.632719642
Al Horford,1.176901285,0.91513304,1.321880301,1.287622534,1.637249402,1.89396296,1.689665691,0.071555106,0.049920374,0.618422017,0.651285707,2.216467066,1.123808941,1.060608659,3.695023622,1.415489573
Al Jefferson,1.656182351,0.91513304,2.01311532,1.922123257,1.897681364,3.296034171,3.280074988,-0.625408438,-0.61070984,1.320788375,1.492741198,3.093112745,0.420525698,1.137274976,3.673852072,-0.113839974
Al-Farouq Aminu,0.218339152,0.618511286,0.630645283,0.872137289,0.671755758,0.070749654,0.124640459,0.410220489,0.499477865,0.063357492,0.100928332,0.842018412,-0.057523042,0.409727279,3.308642829,-0.441553448
Alan Williams,-0.260941914,0.321889533,-0.521413082,-0.825232667,-0.767688454,-0.608154837,-0.615402663,-0.645041214,-0.670102598,-0.559992651,-0.552526292,-0.462884238,-0.583836319,-0.679247338,3.245128179,-0.386934536
Alec Burks,-0.021301381,-0.271353975,0.40023361,0.150674537,-0.052364475,-0.061386119,0.00911042,-0.085507101,-0.081657428,0.19017364,0.191896494,-0.256076384,-0.1509877,-0.018978245,3.171027753,-0.632719642
Alec Peters,-0.979863513,0.618511286,-0.982236428,-0.960506933,-0.832717906,-0.702537532,-0.710430188,-0.600867468,-0.618019718,-0.635106831,-0.647284793,-0.651390511,-0.602222809,-0.751219798,3.096927327,-0.550791273
